ID,smiles,solubility,InChIKey,mw
A-5667,COc1ccc(NC(=O)C(N=Nc2ccc(cc2Cl)c3ccc(N=NC(C(C)=O)C(=O)Nc4ccccc4)c(Cl)c3)C(C)=O)cc1.COc5ccc(NC(=O)C(N=Nc6ccc(cc6Cl)c7ccc(N=NC(C(C)=O)C(=O)Nc8ccc(OC)cc8)c(Cl)c7)C(C)=O)cc5.CC(=O)C(N=Nc9ccc(cc9Cl)c%10ccc(N=NC(C(C)=O)C(=O)Nc%11ccccc%11)c(Cl)c%10)C(=O)Nc%12ccccc%12,-8.5404809541,PHMIXEGPFULHMW-UHFFFAOYSA-N,1978.59
A-5229,C[C@@H]1O[C@@H](O[C@@H]2[C@H](C)O[C@@H](O)[C@@H](O[S](O)(=O)=O)[C@@H]2O[S](O)(=O)=O)[C@@H](O[S](O)(=O)=O)[C@H](O[C@@H]3O[C@@H](C)[C@@H](O[C@@H]4O[C@@H](C)[C@@H](O)[C@@H](O[C@@H]5O[C@@H](C)[C@@H](O)[C@@H](O[S](O)(=O)=O)[C@@H]5O[S](O)(=O)=O)[C@@H]4O[S](O)(=O)=O)[C@@H](O[S](O)(=O)=O)[C@@H]3O[S](O)(=O)=O)[C@@H]1O.OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O[C@@H]6O[C@@H]([C@@H](O[C@@H]7O[C@@H]([C@@H](O)[C@H](O)[C@@H]7O)C(O)=O)[C@H](O)[C@@H]6O)C(O)=O,-0.5892058636,DFKXEMWEDROUAD-VNAFSSMTSA-N,1941.67
A-2848,[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].NC(=O)Nc1cc(Nc2nc(Cl)nc(Nc3ccc(c4ccc(Nc5nc(Cl)nc(Nc6ccc(N=Nc7cc8c(cc(cc8[S]([O-])(=O)=O)[S]([O-])(=O)=O)cc7[S]([O-])(=O)=O)c(NC(N)=O)c6)n5)cc4[S]([O-])(=O)=O)c(c3)[S]([O-])(=O)=O)n2)ccc1N=Nc9cc%10c(cc(cc%10[S]([O-])(=O)=O)[S]([O-])(=O)=O)cc9[S]([O-])(=O)=O,-1.4981682805,WAPHSRMHUOCGQE-UHFFFAOYSA-F,1834.27
A-2880,[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].Oc1c(Nc2nc(Cl)nc(Nc3ccc(Nc4nc(Cl)nc(Nc5c(O)c6c(cc(cc6N=Nc7ccc8c(cccc8[S]([O-])(=O)=O)c7[S]([O-])(=O)=O)[S]([O-])(=O)=O)cc5[S]([O-])(=O)=O)n4)cc3)n2)c(cc9cc(cc(N=Nc%10ccc%11c(cccc%11[S]([O-])(=O)=O)c%10[S]([O-])(=O)=O)c19)[S]([O-])(=O)=O)[S]([O-])(=O)=O,-0.634868411,ODAJTFUSCNWRHZ-UHFFFAOYSA-F,1774.21
A-3846,C1N(CCOC1)C2=NC(=NC(=N2)NC3=C4C(=O)/C(=N/NC5=CC=CC=C5)/C(=CC4=CC(=C3)S(=O)(=O)[O-])S(=O)(=O)[O-])NC6=CC(=C(C=C6)/C=C/C7=C(C=C(C=C7)NC8=NC(=NC(=N8)N9CCOCC9)NC1=C2C(=O)/C(=N/NC3=CC=CC=C3)/C(=CC2=CC(=C1)S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],-1.144796153,XGUYBIZUGAOMJN-NSVLGCOKSA-H,1673.46
A-2953,[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[O-]C(=O)c1ccc[n+](c1)c2nc(NCCNc3ccc4N=C5C(=C6Oc7c(ccc(NCCNc8nc(Nc9cc(ccc9[S]([O-])(=O)=O)[S]([O-])(=O)=O)nc(n8)[n+]%10cccc(c%10)C([O-])=O)c7[S]([O-])(=O)=O)N=C6C(=C5Oc4c3[S]([O-])(=O)=O)Cl)Cl)nc(Nc%11cc(ccc%11[S]([O-])(=O)=O)[S]([O-])(=O)=O)n2,-0.9522048024,QXRUQIRSGRTEHZ-UHFFFAOYSA-H,1666.16
A-2388,CCN(CC)CCCNc1nc(Nc2ccc(cc2)N=Nc3c(O)c4c(Nc5nc(NCC(C)N)nc(NCC(C)N)n5)cc(cc4cc3[S](O)(=O)=O)[S](O)(=O)=O)nc(Nc6ccc(cc6)N=Nc7c(O)c8c(Nc9nc(NCC(C)N)nc(NCC(C)N)n9)cc(cc8cc7[S](O)(=O)=O)[S](O)(=O)=O)n1.CC(O)C(O)=O,-0.7942190429,PQKUZJNOANDNSP-UHFFFAOYSA-N,1618.8
A-547,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC.CCCCCCCCCCCC(CC)CCCCCCC(CC)CCCCCCC.CCC1CCC(CC)CC1.Cc2cccc(C)c2.C3CCC4CC5CCCCC5CC4C3.c6ccc7ccccc7c6.c8ccc9cc%10ccccc%10cc9c8,-5.4050532611,DXACIACMWHJFHD-UHFFFAOYSA-N,1590.84
A-819,CCc1ccccc1.CCc2cc(CC)c(CC)cc2CC.CCC(C)(c3ccccc3)c4ccccc4.Cc5ccccc5.Cc6ccccc6c7ccccc7.Cc8cccc9ccccc89.C=Cc%10ccccc%10.C%11CCC(CC%11)c%12ccccc%12.C(Cc%13ccccc%13)c%14ccccc%14.c%15ccccc%15.c%16ccc(cc%16)c%17ccccc%17,-4.5881768419,ILFKMCMFANUWPS-UHFFFAOYSA-N,1588.4
A-4218,[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[O-][S](=O)(=O)c1ccc(Nc2nc(Cl)nc(NCCNc3ccc4N=C5C(=C6Oc7c(ccc(NCCNc8nc(Cl)nc(Nc9ccc(cc9[S]([O-])(=O)=O)[S]([O-])(=O)=O)n8)c7[S]([O-])(=O)=O)N=C6C(=C5Oc4c3[S]([O-])(=O)=O)Cl)Cl)n2)c(c1)[S]([O-])(=O)=O,-0.8795540191,LNXCMNGXHAOOOW-UHFFFAOYSA-H,1492.86
A-3812,[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[O-][S](=O)(=O)c1cc(Nc2nc(Cl)nc(Nc3ccc(Nc4nc(Cl)nc(Nc5cc(cc6C=C(/C(=N/Nc7ccccc7[S]([O-])(=O)=O)C(=O)c56)[S]([O-])(=O)=O)[S]([O-])(=O)=O)n4)cc3)n2)c8C(=O)C(=N/Nc9ccccc9[S]([O-])(=O)=O)\C(=Cc8c1)[S]([O-])(=O)=O,-0.6303809029,MPEFHPPVCSSFRQ-IGHLAAJMSA-H,1470.0
A-5485,[Na+].[Na+].[Cr].[Cr].Oc1ccc2ccccc2c1N\N=C/3C(=O)C=C(c4cc(ccc34)[N+]([O-])=O)[S](O)(=O)=O.Oc5ccc6ccccc6c5N\N=C/7C(=O)C=C(c8cc(ccc78)[N+]([O-])=O)[S]([O-])(=O)=O.Oc9ccc%10ccccc%10c9N\N=C/%11C(=O)C=C(c%12cc(ccc%11%12)[N+]([O-])=O)[S]([O-])(=O)=O,-5.1661846252,YCNSFOJOGIRLCD-XGVRSJHNSA-L,1466.17
A-4932,[Na+].[Na+].[Na+].[Na+].[Na+].CCCCCCCCCCCC(O)=O.CCCCCCCCCCCC([O-])=O.CCCCCCCCCCCC(=O)OC(C)C([O-])=O.CCCCCCCCCC(O)=O.CCCCCCCCCC([O-])=O.CCCCCCCCCC(=O)OC(C)C([O-])=O.CC(O)C([O-])=O,-4.0857316668,UZWXBVXWDIJVKW-UHFFFAOYSA-I,1461.88
A-2753,CCCCCCCCCCCCCCCCCC(=O)OC.CCCCCCCCCCCCCCCC(=O)OC.CCCCCCCC\C=C/CCCCCCCC(=O)OC.CCCCC/C=C\C\C=C/CCCCCCCC(=O)OC.CC/C=C/C/C=C/C/C=C/CCCCCCCC(=O)OC,-7.8003598993,SWOKSHSHKMKETQ-WIBNQTOSSA-N,1452.4
A-307,[Co+3].CCN(CC)c1ccc2c(c1)[o+]c3cc(ccc3c2c4ccccc4C(O)=O)N(CC)CC.CC(C)OCCCN[S](=O)(=O)c5ccc([O-])c(c5)N=Nc6c(C)nn(c6[O-])c7ccccc7.CC(C)OCCCN[S](=O)(=O)c8ccc([O-])c(c8)N=Nc9c(C)nn(c9[O-])c%10ccccc%10,-3.2357622441,WUVJFYRTCZOXAH-UHFFFAOYSA-K,1445.58
A-2970,[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].Nc1c(N=Nc2cc(Nc3nc(Cl)nc(Nc4cccc(c4)[S]([O-])(=O)=O)n3)ccc2[S]([O-])(=O)=O)c(cc5C=C(/C(=N/Nc6cc(Nc7nc(Cl)nc(Nc8cccc(c8)[S]([O-])(=O)=O)n7)ccc6[S]([O-])(=O)=O)C(=O)c15)[S]([O-])(=O)=O)[S]([O-])(=O)=O,-0.9572055168,UILQUTBIXJZSTN-NZHDPOKYSA-H,1418.96
A-5556,Clc1c(Cl)c(Br)c2C3=NC(=Nc4n5[Cu]N6C(=N3)c7c(Cl)c(Br)c(Cl)c(Br)c7C6=NC8=NC(=Nc5c9c(Br)c(Cl)c(Br)c(Cl)c49)c%10c(Cl)c(Cl)c(Br)c(Cl)c8%10)c2c1Cl,-9.1442341106,JRJLLXQDXANQEC-UHFFFAOYSA-N,1393.91
A-3631,[Na+].[Na+].[Na+].[Na+].[Na+].[Cr+3].Nc1nc(Cl)nc(Nc2cc(cc3cc(c(N=Nc4cc(ccc4[O-])[N+]([O-])=O)c([O-])c23)[S]([O-])(=O)=O)[S]([O-])(=O)=O)n1.Nc5nc(Cl)nc(Nc6cc(cc7cc(c(N=Nc8cc(ccc8[O-])[N+]([O-])=O)c([O-])c67)[S]([O-])(=O)=O)[S]([O-])(=O)=O)n5,-0.4949751746,AICVXAYCWMYBPS-UHFFFAOYSA-F,1384.77
A-2657,CCCCCCCCCCCCCCCCCC(=O)NCCNCCNC(=O)CCCCCCCCCCCCCCCCC.CCCCCCCCCCCCCCCCCC(=O)NCCN1CCN=C1CCCCCCCCCCCCCCCCC.CC(O)=O.CC(O)=O,-7.1380824945,VGSJTKYUFRVBDY-UHFFFAOYSA-N,1374.3
A-5254,[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[O-][S](=O)(=O)c1ccc(cc1)N=Nc2ccc(N\N=C\3C(=O)c4ccc(NC(=O)Nc5ccc6C(=O)C(=N/Nc7ccc(cc7[S]([O-])(=O)=O)N=Nc8ccc(cc8)[S]([O-])(=O)=O)\C(=Cc6c5)[S]([O-])(=O)=O)cc4C=C3[S]([O-])(=O)=O)c(c2)[S]([O-])(=O)=O,-0.5694985454,LDCKXVAPQFUIOI-ZFLDVXHKSA-H,1373.09
A-4105,[Na+].[Na+].[Na+].[Na+].[Na+].[Cu++].[O-]C(=O)c1cc(ccc1NNC(=N/Nc2cc(cc([N-]c3nc(Cl)nc(n3)N=C4C=C(C(C=C4[S]([O-])(=O)=O)=Nc5nc(Cl)nc(Nc6cccc(c6)[S]([O-])(=O)=O)n5)[S]([O-])(=O)=O)c2[O-])[S]([O-])(=O)=O)\c7ccccc7)[S]([O-])(=O)=O.[H+],-0.8254112341,NKKZYKFZYINUQZ-UHFFFAOYSA-G,1371.4
A-3968,[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].OCCN(CCO)c1nc(Nc2ccc(\C=C\c3ccc(Nc4nc(Nc5cc(ccc5[S]([O-])(=O)=O)[S]([O-])(=O)=O)nc(n4)N(CCO)CCO)cc3[S]([O-])(=O)=O)c(c2)[S]([O-])(=O)=O)nc(Nc6cc(ccc6[S]([O-])(=O)=O)[S]([O-])(=O)=O)n1,-0.6924056004,ZECOZQHKQDLCBT-IRTUOLCXSA-H,1369.15
A-396,[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].Nc1c(N=Nc2cc(Nc3nc(Cl)nc(Nc4cccc(c4)[S](=O)(=O)CCO[S]([O-])(=O)=O)n3)ccc2[S]([O-])(=O)=O)c(cc5cc(c(N=Nc6ccc7c(cccc7[S]([O-])(=O)=O)c6[S]([O-])(=O)=O)c(O)c15)[S]([O-])(=O)=O)[S]([O-])(=O)=O,-1.277021164,CRBABZUVIKGIMW-UHFFFAOYSA-H,1357.5
A-3735,[Na+].[Na+].[Na+].[Na+].[Na+].COc1cc(N=Nc2cc(cc3cc(cc(O)c23)[S]([O-])(=O)=O)[S]([O-])(=O)=O)c(C)cc1N=Nc4c(O)c5c(Nc6nc(Nc7ccccc7)nc(Nc8ccc(cc8)N=Nc9ccc(O)c(c9)C([O-])=O)n6)cc(cc5cc4[S]([O-])(=O)=O)[S]([O-])(=O)=O,-2.4833879664,HTPJPKXFBLUBPI-UHFFFAOYSA-I,1333.1
A-4107,[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].CCN(CC)c1nc(Nc2ccc(\C=C\c3ccc(Nc4nc(Nc5cc(ccc5[S]([O-])(=O)=O)[S]([O-])(=O)=O)nc(n4)N(CC)CC)cc3[S]([O-])(=O)=O)c(c2)[S]([O-])(=O)=O)nc(Nc6cc(ccc6[S]([O-])(=O)=O)[S]([O-])(=O)=O)n1,-0.8122490226,KMPSLWWDIJFERN-PTNBLCRGSA-H,1305.15
A-2461,[Zn++].CCCC(C)C(CCC)C(C)Cc1ccc(O[P]([S-])(=S)Oc2ccc(CC(C)C(CCC)C(C)CCC)cc2)cc1.CCCC(C)C(CCC)C(C)Cc3ccc(O[P]([S-])(=S)Oc4ccc(CC(C)C(CCC)C(C)CCC)cc4)cc3,-5.4154147676,JVQCNSRVEPWJNL-UHFFFAOYSA-L,1301.32
C-2575,OCC1OC2OC3C(O)C(O)C(OC3CO)OC4C(O)C(O)C(OC4CO)OC5C(O)C(O)C(OC5CO)OC6C(O)C(O)C(OC6CO)OC7C(O)C(O)C(OC7CO)OC8C(O)C(O)C(OC8CO)OC9C(O)C(O)C(OC9CO)OC1C(O)C2O,-0.75,GDSRMADSINPKSL-UHFFFAOYSA-N,1297.13
A-5894,[Ca++].COc1ccc(NC(=O)C2=Cc3ccccc3/C(=N/Nc4cc(ccc4C)C(=O)Nc5cccc(c5)[S]([O-])(=O)=O)C2=O)cc1.COc6ccc(NC(=O)C7=Cc8ccccc8/C(=N/Nc9cc(ccc9C)C(=O)Nc%10cccc(c%10)[S]([O-])(=O)=O)C7=O)cc6,-7.0509311827,MVOVSLDNNBTJIE-CHTASWDYSA-L,1259.36
A-5253,[Na+].[Na+].[Na+].[Na+].[Na+].NC(=O)Nc1cc(Nc2nc(Cl)nc(Nc3cc(N)c(cc3N=Nc4ccc(cc4)[S](=O)(=O)CCO[S]([O-])(=O)=O)[S]([O-])(=O)=O)n2)ccc1N=Nc5cc6c(cc(cc6[S]([O-])(=O)=O)[S]([O-])(=O)=O)cc5[S]([O-])(=O)=O,-0.5105575438,TWIRQKNQTOUPOY-UHFFFAOYSA-I,1247.44
A-2336,CC(=O)[C@H]1CCC(=CCCC=C(C)CCC1=C)C.CC(=O)[C@@H]2CCC(=CCCC=C(C)CCC2=C)C.CC(=O)[C@H]3CCC(=CCCC=C(C)CC=C3C)C.CC(=O)[C@@H]4CCC(=CCCC=C(C)CC=C4C)C.CC/5=C/CC\C=C(C)/CC/C(=C(/C)CC5)C(C)=O,-5.4491260218,IBZATQUGDOLKJX-GPRJLHHYSA-N,1231.97
A-6031,CC(=O)C(N=Nc1cc(ccc1Cl)C(=O)Nc2cc(ccc2Oc3ccc(Cl)cc3)C(F)(F)F)C(=O)Nc4cc(Cl)c(NC(=O)C(N=Nc5cc(ccc5Cl)C(=O)Nc6cc(ccc6Oc7ccc(Cl)cc7)C(F)(F)F)C(C)=O)cc4C,-7.6916832495,VOCMTGRPDQPZFA-UHFFFAOYSA-N,1229.2
A-4547,[Na+].[Na+].[Na+].[Na+].CC(O)CN(CC(C)O)c1nc(Nc2ccc(cc2)[S]([O-])(=O)=O)nc(Nc3ccc(/C=C/c4ccc(Nc5nc(Nc6ccc(cc6)[S]([O-])(=O)=O)nc(n5)N(CC(C)O)CC(C)O)cc4[S]([O-])(=O)=O)c(c3)[S]([O-])(=O)=O)n1,-0.0867739928,NTHKAJBKFNFLHL-WPYDVODASA-J,1221.16
A-4103,N.N.N.N.N.N.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo],-0.7664726235,QGAVSDVURUSLQK-UHFFFAOYSA-N,1206.13
A-2154,CCCCCCCCCCCCCCCc1cccc(O)c1.CCCCCCC\C=C/CCCCCCc2cccc(O)c2.CCCC/C=C\C\C=C/CCCCCCc3cccc(O)c3.Oc4cccc(CCCCCC\C=C/C/C=C\CCC=C)c4,-6.5970388257,BQLBNJKYLGWYQM-ZWUGTYOTSA-N,1205.98
A-1023,O.O.O.O.[Pb].[Pb].[Pb].[Pb].[Pb].[O-][S]([O-])(=O)=O,-4.5661230993,BKMAZJUOHZYBFP-UHFFFAOYSA-L,1204.12
C-1073,CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,-4.64,PMATZTZNYRCHOR-IMVLJIQESA-N,1202.63
A-2707,CC(C)CCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCCCCCC(C)C)COC(=O)CCCCCCCCCCCCCCC(C)C,-7.3809427734,LPGFSDGXTDNTCB-UHFFFAOYSA-N,1202.02
A-2706,CCCCCCCC\C=C/CCCCCCCC(=O)OCC(COC(=O)CCCCCCC\C=C/CCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCCCCCC)COC(=O)CCCCCCC\C=C/CCCCCCCC,-7.3780194092,QTIMEBJTEBWHOB-PMDAXIHYSA-N,1193.96
A-2651,CC(C)(C)c1cc(CCC(=O)OCC(COC(=O)CCc2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)(COC(=O)CCc3cc(c(O)c(c3)C(C)(C)C)C(C)(C)C)COC(=O)CCc4cc(c(O)c(c4)C(C)(C)C)C(C)(C)C)cc(c1O)C(C)(C)C,-7.0710180803,BGYHLZZASRKEJE-UHFFFAOYSA-N,1177.65
A-5280,[Na+].[Na+].[Na+].[Na+].Oc1cc(O)c(cc1N=Nc2ccc(Nc3ccc(cc3[S]([O-])(=O)=O)[N+]([O-])=O)cc2)N=Nc4cc(cc5cc(c(N=Nc6ccc(Nc7ccc(cc7[S]([O-])(=O)=O)[N+]([O-])=O)cc6)c(O)c45)[S]([O-])(=O)=O)[S]([O-])(=O)=O,-0.7667514499,YEYRLCHTGWGSQF-UHFFFAOYSA-J,1168.91
